flight_number,aircraft_registration,origin_iata,destination_iata,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,status,airline_code,flight_id
CX 7143,G-EUUF,LHR,GOT,2026-05-31 05:20Z,2026-05-31 05:25Z,2026-05-31 07:15Z,2026-05-31 06:55Z,Departed,CX,CX7143_2026-05-31 05:20Z
QR 9792,Unknown,LHR,AGP,2026-05-31 05:15Z,2026-05-31 05:29Z,2026-05-31 08:05Z,2026-05-31 07:51Z,Departed,QR,QR9792_2026-05-31 05:15Z
JL 6545,Unknown,LHR,AGP,2026-05-31 05:15Z,2026-05-31 05:29Z,2026-05-31 08:05Z,2026-05-31 07:51Z,Departed,Unknown,JL6545_2026-05-31 05:15Z
QF 3531,Unknown,LHR,AGP,2026-05-31 05:15Z,2026-05-31 05:29Z,2026-05-31 08:05Z,2026-05-31 07:51Z,Departed,QF,QF3531_2026-05-31 05:15Z
AA 7063,Unknown,LHR,AGP,2026-05-31 05:15Z,2026-05-31 05:29Z,2026-05-31 08:05Z,2026-05-31 07:51Z,Departed,AA,AA7063_2026-05-31 05:15Z
IB 3717,Unknown,LHR,AGP,2026-05-31 05:15Z,2026-05-31 05:29Z,2026-05-31 08:05Z,2026-05-31 07:51Z,Departed,IB,IB3717_2026-05-31 05:15Z
BA 420,Unknown,LHR,AGP,2026-05-31 05:15Z,2026-05-31 05:29Z,2026-05-31 08:05Z,2026-05-31 07:51Z,Departed,BA,BA420_2026-05-31 05:15Z
EI 8324,Unknown,LHR,DUB,2026-05-31 05:20Z,2026-05-31 05:31Z,2026-05-31 06:45Z,2026-05-31 06:45Z,Departed,EI,EI8324_2026-05-31 05:20Z
KQ 4014,Unknown,LHR,DUB,2026-05-31 05:20Z,2026-05-31 05:31Z,2026-05-31 06:45Z,2026-05-31 06:45Z,Departed,KQ,KQ4014_2026-05-31 05:20Z
BA 824,Unknown,LHR,DUB,2026-05-31 05:20Z,2026-05-31 05:31Z,2026-05-31 06:45Z,2026-05-31 06:45Z,Departed,BA,BA824_2026-05-31 05:20Z
QR 5918,Unknown,LHR,DUB,2026-05-31 05:20Z,2026-05-31 05:31Z,2026-05-31 06:45Z,2026-05-31 06:45Z,Departed,QR,QR5918_2026-05-31 05:20Z
JL 7825,Unknown,LHR,DUB,2026-05-31 05:20Z,2026-05-31 05:31Z,2026-05-31 06:45Z,2026-05-31 06:45Z,Departed,Unknown,JL7825_2026-05-31 05:20Z
VS 6659,Unknown,LHR,CDG,2026-05-31 05:15Z,2026-05-31 05:34Z,2026-05-31 06:40Z,2026-05-31 06:31Z,Departed,VS,VS6659_2026-05-31 05:15Z
MK 9413,Unknown,LHR,CDG,2026-05-31 05:15Z,2026-05-31 05:34Z,2026-05-31 06:40Z,2026-05-31 06:31Z,Departed,MK,MK9413_2026-05-31 05:15Z
AF 1381,Unknown,LHR,CDG,2026-05-31 05:15Z,2026-05-31 05:34Z,2026-05-31 06:40Z,2026-05-31 06:31Z,Departed,AF,AF1381_2026-05-31 05:15Z
MU 1767,Unknown,LHR,CDG,2026-05-31 05:15Z,2026-05-31 05:34Z,2026-05-31 06:40Z,2026-05-31 06:31Z,Departed,MU,MU1767_2026-05-31 05:15Z
DL 8281,Unknown,LHR,CDG,2026-05-31 05:15Z,2026-05-31 05:34Z,2026-05-31 06:40Z,2026-05-31 06:31Z,Departed,DL,DL8281_2026-05-31 05:15Z
VN 3653,Unknown,LHR,CDG,2026-05-31 05:15Z,2026-05-31 05:34Z,2026-05-31 06:40Z,2026-05-31 06:31Z,Departed,VN,VN3653_2026-05-31 05:15Z
KQ 3059,Unknown,LHR,CDG,2026-05-31 05:15Z,2026-05-31 05:34Z,2026-05-31 06:40Z,2026-05-31 06:31Z,Departed,KQ,KQ3059_2026-05-31 05:15Z
AM 6021,Unknown,LHR,CDG,2026-05-31 05:15Z,2026-05-31 05:34Z,2026-05-31 06:40Z,2026-05-31 06:31Z,Departed,AM,AM6021_2026-05-31 05:15Z
G3 5113,Unknown,LHR,CDG,2026-05-31 05:15Z,2026-05-31 05:34Z,2026-05-31 06:40Z,2026-05-31 06:31Z,Departed,G3,G35113_2026-05-31 05:15Z
AY 5898,G-EUPS,LHR,CPH,2026-05-31 05:35Z,2026-05-31 05:40Z,2026-05-31 07:25Z,2026-05-31 07:05Z,Departed,AY,AY5898_2026-05-31 05:35Z
BA 812,G-EUPS,LHR,CPH,2026-05-31 05:35Z,2026-05-31 05:40Z,2026-05-31 07:25Z,2026-05-31 07:05Z,Departed,BA,BA812_2026-05-31 05:35Z
QR 8339,G-EUPS,LHR,CPH,2026-05-31 05:35Z,2026-05-31 05:40Z,2026-05-31 07:25Z,2026-05-31 07:05Z,Departed,QR,QR8339_2026-05-31 05:35Z
PK 5988,Unknown,LHR,IST,2026-05-31 05:30Z,2026-05-31 05:42Z,2026-05-31 09:25Z,2026-05-31 09:25Z,Departed,PK,PK5988_2026-05-31 05:30Z
BR 3561,Unknown,LHR,IST,2026-05-31 05:30Z,2026-05-31 05:42Z,2026-05-31 09:25Z,2026-05-31 09:25Z,Departed,BR,BR3561_2026-05-31 05:30Z
3U 7238,Unknown,LHR,IST,2026-05-31 05:30Z,2026-05-31 05:42Z,2026-05-31 09:25Z,2026-05-31 09:25Z,Departed,3U,3U7238_2026-05-31 05:30Z
TK 1988,Unknown,LHR,IST,2026-05-31 05:30Z,2026-05-31 05:42Z,2026-05-31 09:25Z,2026-05-31 09:25Z,Departed,TK,TK1988_2026-05-31 05:30Z
6E 4064,Unknown,LHR,IST,2026-05-31 05:30Z,2026-05-31 05:42Z,2026-05-31 09:25Z,2026-05-31 09:25Z,Departed,6E,6E4064_2026-05-31 05:30Z
JL 7151,Unknown,LHR,FCO,2026-05-31 05:10Z,2026-05-31 05:43Z,2026-05-31 07:45Z,Not Available,Departed,Unknown,JL7151_2026-05-31 05:10Z
QR 9720,Unknown,LHR,FCO,2026-05-31 05:10Z,2026-05-31 05:43Z,2026-05-31 07:45Z,Not Available,Departed,QR,QR9720_2026-05-31 05:10Z
BA 546,Unknown,LHR,FCO,2026-05-31 05:10Z,2026-05-31 05:43Z,2026-05-31 07:45Z,Not Available,Departed,BA,BA546_2026-05-31 05:10Z
AC 6755,SP-LYC,LHR,WAW,2026-05-31 05:30Z,2026-05-31 05:44Z,2026-05-31 07:55Z,Not Available,Departed,AC,AC6755_2026-05-31 05:30Z
LO 286,SP-LYC,LHR,WAW,2026-05-31 05:30Z,2026-05-31 05:44Z,2026-05-31 07:55Z,Not Available,Departed,LO,LO286_2026-05-31 05:30Z
AI 7766,SP-LYC,LHR,WAW,2026-05-31 05:30Z,2026-05-31 05:44Z,2026-05-31 07:55Z,Not Available,Departed,AI,AI7766_2026-05-31 05:30Z
BA 448,G-TNEA,LHR,IBZ,2026-05-31 05:40Z,2026-05-31 05:48Z,2026-05-31 08:10Z,2026-05-31 07:55Z,Departed,BA,BA448_2026-05-31 05:40Z
JL 7861,Unknown,LHR,ZAG,2026-05-31 05:25Z,2026-05-31 05:49Z,2026-05-31 07:50Z,2026-05-31 07:47Z,Departed,Unknown,JL7861_2026-05-31 05:25Z
QF 3513,Unknown,LHR,ZAG,2026-05-31 05:25Z,2026-05-31 05:49Z,2026-05-31 07:50Z,2026-05-31 07:47Z,Departed,QF,QF3513_2026-05-31 05:25Z
BA 848,Unknown,LHR,ZAG,2026-05-31 05:25Z,2026-05-31 05:49Z,2026-05-31 07:50Z,2026-05-31 07:47Z,Departed,BA,BA848_2026-05-31 05:25Z
AA 6774,Unknown,LHR,ZAG,2026-05-31 05:25Z,2026-05-31 05:49Z,2026-05-31 07:50Z,2026-05-31 07:47Z,Departed,AA,AA6774_2026-05-31 05:25Z
BA 524,G-TTNB,LHR,NAP,2026-05-31 05:30Z,2026-05-31 05:50Z,2026-05-31 08:20Z,2026-05-31 08:00Z,Departed,BA,BA524_2026-05-31 05:30Z
SN 2104,Unknown,LHR,BRU,2026-05-31 05:50Z,2026-05-31 05:50Z,2026-05-31 06:55Z,2026-05-31 07:12Z,Boarding,SN,SN2104_2026-05-31 05:50Z
UA 9924,Unknown,LHR,BRU,2026-05-31 05:50Z,2026-05-31 05:50Z,2026-05-31 06:55Z,2026-05-31 07:12Z,Boarding,UA,UA9924_2026-05-31 05:50Z
AC 6330,Unknown,LHR,BRU,2026-05-31 05:50Z,2026-05-31 05:50Z,2026-05-31 06:55Z,2026-05-31 07:12Z,Boarding,AC,AC6330_2026-05-31 05:50Z
VS 5917,EI-SIG,LHR,ARN,2026-05-31 05:40Z,2026-05-31 05:51Z,2026-05-31 08:05Z,2026-05-31 07:48Z,Departed,VS,VS5917_2026-05-31 05:40Z
SK 1530,EI-SIG,LHR,ARN,2026-05-31 05:40Z,2026-05-31 05:51Z,2026-05-31 08:05Z,2026-05-31 07:48Z,Departed,SK,SK1530_2026-05-31 05:40Z
QR 5944,G-EUUI,LHR,OLB,2026-05-31 06:00Z,2026-05-31 05:52Z,2026-05-31 08:30Z,Not Available,Departed,QR,QR5944_2026-05-31 06:00Z
BA 592,G-EUUI,LHR,OLB,2026-05-31 06:00Z,2026-05-31 05:52Z,2026-05-31 08:30Z,Not Available,Departed,BA,BA592_2026-05-31 06:00Z
BA 626,G-TTSE,LHR,ATH,2026-05-31 05:40Z,2026-05-31 05:54Z,2026-05-31 09:25Z,2026-05-31 09:15Z,Departed,BA,BA626_2026-05-31 05:40Z
AA 7069,G-TTSE,LHR,ATH,2026-05-31 05:40Z,2026-05-31 05:54Z,2026-05-31 09:25Z,2026-05-31 09:15Z,Departed,AA,AA7069_2026-05-31 05:40Z
BA 702,Unknown,LHR,BJV,2026-05-31 06:00Z,2026-05-31 05:55Z,2026-05-31 10:00Z,2026-05-31 10:00Z,Departed,BA,BA702_2026-05-31 06:00Z
BA 568,Unknown,LHR,LIN,2026-05-31 05:50Z,2026-05-31 05:56Z,2026-05-31 07:50Z,2026-05-31 07:50Z,Departed,BA,BA568_2026-05-31 05:50Z
AA 6831,Unknown,LHR,LIN,2026-05-31 05:50Z,2026-05-31 05:56Z,2026-05-31 07:50Z,2026-05-31 07:50Z,Departed,AA,AA6831_2026-05-31 05:50Z
QR 5872,Unknown,LHR,GIB,2026-05-31 06:05Z,2026-05-31 05:59Z,2026-05-31 08:55Z,2026-05-31 08:55Z,Departed,QR,QR5872_2026-05-31 06:05Z
CX 7284,Unknown,LHR,GIB,2026-05-31 06:05Z,2026-05-31 05:59Z,2026-05-31 08:55Z,2026-05-31 08:55Z,Departed,CX,CX7284_2026-05-31 06:05Z
JL 7777,Unknown,LHR,GIB,2026-05-31 06:05Z,2026-05-31 05:59Z,2026-05-31 08:55Z,2026-05-31 08:55Z,Departed,Unknown,JL7777_2026-05-31 06:05Z
BA 490,Unknown,LHR,GIB,2026-05-31 06:05Z,2026-05-31 05:59Z,2026-05-31 08:55Z,2026-05-31 08:55Z,Departed,BA,BA490_2026-05-31 06:05Z
BA 654,Unknown,LHR,CHQ,2026-05-31 06:00Z,2026-05-31 05:59Z,2026-05-31 10:10Z,2026-05-31 10:10Z,Departed,BA,BA654_2026-05-31 06:00Z
MF 9635,Unknown,LHR,AMS,2026-05-31 05:30Z,2026-05-31 06:01Z,2026-05-31 06:50Z,2026-05-31 06:46Z,Departed,MF,MF9635_2026-05-31 05:30Z
CI 9362,Unknown,LHR,AMS,2026-05-31 05:30Z,2026-05-31 06:01Z,2026-05-31 06:50Z,2026-05-31 06:46Z,Departed,CI,CI9362_2026-05-31 05:30Z
VS 7046,Unknown,LHR,AMS,2026-05-31 05:30Z,2026-05-31 06:01Z,2026-05-31 06:50Z,2026-05-31 06:46Z,Departed,VS,VS7046_2026-05-31 05:30Z
KL 1000,Unknown,LHR,AMS,2026-05-31 05:30Z,2026-05-31 06:01Z,2026-05-31 06:50Z,2026-05-31 06:46Z,Departed,KL,KL1000_2026-05-31 05:30Z
DL 9588,Unknown,LHR,AMS,2026-05-31 05:30Z,2026-05-31 06:01Z,2026-05-31 08:55Z,2026-05-31 08:47Z,Departed,DL,DL9588_2026-05-31 05:30Z
GA 9491,Unknown,LHR,AMS,2026-05-31 05:30Z,2026-05-31 06:01Z,2026-05-31 06:50Z,2026-05-31 06:46Z,Departed,GA,GA9491_2026-05-31 05:30Z
6E 3347,Unknown,LHR,AMS,2026-05-31 05:30Z,2026-05-31 06:01Z,2026-05-31 06:50Z,2026-05-31 06:46Z,Departed,6E,6E3347_2026-05-31 05:30Z
BA 642,Unknown,LHR,CFU,2026-05-31 06:05Z,2026-05-31 06:01Z,2026-05-31 09:20Z,2026-05-31 09:20Z,Departed,BA,BA642_2026-05-31 06:05Z
BA 670,Unknown,LHR,SKG,2026-05-31 06:05Z,2026-05-31 06:02Z,2026-05-31 09:25Z,2026-05-31 09:25Z,Departed,BA,BA670_2026-05-31 06:05Z
AA 6833,Unknown,LHR,LIN,2026-05-31 06:05Z,2026-05-31 06:02Z,2026-05-31 08:05Z,2026-05-31 08:05Z,Departed,AA,AA6833_2026-05-31 06:05Z
BA 570,Unknown,LHR,LIN,2026-05-31 06:05Z,2026-05-31 06:02Z,2026-05-31 08:05Z,2026-05-31 08:05Z,Departed,BA,BA570_2026-05-31 06:05Z
BA 850,Unknown,LHR,PRG,2026-05-31 05:50Z,2026-05-31 06:03Z,2026-05-31 07:45Z,2026-05-31 07:35Z,Departed,BA,BA850_2026-05-31 05:50Z
A3 1821,D-AIJQ,LHR,FRA,2026-05-31 05:30Z,2026-05-31 06:04Z,2026-05-31 07:05Z,2026-05-31 07:09Z,Departed,A3,A31821_2026-05-31 05:30Z
VL 921,D-AIJQ,LHR,FRA,2026-05-31 05:30Z,2026-05-31 06:04Z,2026-05-31 07:05Z,2026-05-31 07:09Z,Departed,VL,VL921_2026-05-31 05:30Z
LH 921,D-AIJM,LHR,FRA,2026-05-31 05:30Z,2026-05-31 06:04Z,2026-05-31 07:05Z,2026-05-31 07:05Z,Departed,LH,LH921_2026-05-31 05:30Z
UA 9553,D-AIJQ,LHR,FRA,2026-05-31 05:30Z,2026-05-31 06:04Z,2026-05-31 07:05Z,2026-05-31 07:09Z,Departed,UA,UA9553_2026-05-31 05:30Z
LH 4233,D-AIJQ,LHR,FRA,2026-05-31 05:30Z,2026-05-31 06:04Z,2026-05-31 07:05Z,2026-05-31 07:09Z,Departed,LH,LH4233_2026-05-31 05:30Z
BA 884,G-TTSH,LHR,BUD,2026-05-31 06:00Z,2026-05-31 06:05Z,2026-05-31 08:25Z,2026-05-31 08:25Z,Departed,BA,BA884_2026-05-31 06:00Z
BA 722,Unknown,LHR,VIE,2026-05-31 06:05Z,2026-05-31 06:05Z,2026-05-31 08:20Z,2026-05-31 08:20Z,GateClosed,BA,BA722_2026-05-31 06:05Z
BA 428,G-EUYI,LHR,AMS,2026-05-31 05:50Z,2026-05-31 06:07Z,2026-05-31 07:10Z,2026-05-31 06:46Z,Departed,BA,BA428_2026-05-31 05:50Z
QR 8365,G-EUYI,LHR,AMS,2026-05-31 05:50Z,2026-05-31 06:07Z,2026-05-31 07:10Z,2026-05-31 06:46Z,Departed,QR,QR8365_2026-05-31 05:50Z
QR 5978,Unknown,LHR,TLS,2026-05-31 06:15Z,2026-05-31 06:15Z,2026-05-31 08:05Z,Not Available,GateClosed,QR,QR5978_2026-05-31 06:15Z
BA 366,Unknown,LHR,TLS,2026-05-31 06:15Z,2026-05-31 06:15Z,2026-05-31 08:05Z,Not Available,GateClosed,BA,BA366_2026-05-31 06:15Z
BA 600,Unknown,LHR,VCE,2026-05-31 06:15Z,2026-05-31 06:15Z,2026-05-31 08:30Z,Not Available,GateClosed,BA,BA600_2026-05-31 06:15Z
JL 7771,Unknown,LHR,VCE,2026-05-31 06:15Z,2026-05-31 06:15Z,2026-05-31 08:30Z,Not Available,GateClosed,Unknown,JL7771_2026-05-31 06:15Z
AA 6698,Unknown,LHR,VCE,2026-05-31 06:15Z,2026-05-31 06:15Z,2026-05-31 08:30Z,Not Available,GateClosed,AA,AA6698_2026-05-31 06:15Z
CX 7201,Unknown,LHR,LIS,2026-05-31 06:15Z,2026-05-31 06:15Z,2026-05-31 09:05Z,2026-05-31 09:05Z,GateClosed,CX,CX7201_2026-05-31 06:15Z
BA 500,Unknown,LHR,LIS,2026-05-31 06:15Z,2026-05-31 06:15Z,2026-05-31 09:05Z,2026-05-31 09:05Z,GateClosed,BA,BA500_2026-05-31 06:15Z
QR 5902,Unknown,LHR,LIS,2026-05-31 06:15Z,2026-05-31 06:15Z,2026-05-31 09:05Z,2026-05-31 09:05Z,GateClosed,QR,QR5902_2026-05-31 06:15Z
BA 618,Unknown,LHR,PMO,2026-05-31 06:20Z,2026-05-31 06:20Z,2026-05-31 09:15Z,Not Available,Boarding,BA,BA618_2026-05-31 06:20Z
JL 7729,Unknown,LHR,PMO,2026-05-31 06:20Z,2026-05-31 06:20Z,2026-05-31 09:15Z,Not Available,Boarding,Unknown,JL7729_2026-05-31 06:20Z
QR 9757,Unknown,LHR,PMO,2026-05-31 06:20Z,2026-05-31 06:20Z,2026-05-31 09:15Z,Not Available,Boarding,QR,QR9757_2026-05-31 06:20Z
AA 7039,Unknown,LHR,PMO,2026-05-31 06:20Z,2026-05-31 06:20Z,2026-05-31 09:15Z,Not Available,Boarding,AA,AA7039_2026-05-31 06:20Z
BA 300,Unknown,LHR,CDG,2026-05-31 06:20Z,2026-05-31 06:20Z,2026-05-31 07:35Z,2026-05-31 07:37Z,GateClosed,BA,BA300_2026-05-31 06:20Z
QR 5890,Unknown,LHR,CDG,2026-05-31 06:20Z,2026-05-31 06:20Z,2026-05-31 07:35Z,2026-05-31 07:37Z,GateClosed,QR,QR5890_2026-05-31 06:20Z
AA 6769,Unknown,LHR,BUD,2026-05-31 06:20Z,2026-05-31 06:20Z,2026-05-31 08:50Z,2026-05-31 08:50Z,GateClosed,AA,AA6769_2026-05-31 06:20Z
JL 7852,Unknown,LHR,BUD,2026-05-31 06:20Z,2026-05-31 06:20Z,2026-05-31 08:50Z,2026-05-31 08:50Z,GateClosed,Unknown,JL7852_2026-05-31 06:20Z
BA 862,Unknown,LHR,BUD,2026-05-31 06:20Z,2026-05-31 06:20Z,2026-05-31 08:50Z,2026-05-31 08:50Z,GateClosed,BA,BA862_2026-05-31 06:20Z
BA 842,Unknown,LHR,WAW,2026-05-31 06:20Z,2026-05-31 06:20Z,2026-05-31 08:45Z,Not Available,GateClosed,BA,BA842_2026-05-31 06:20Z
AA 6886,Unknown,LHR,WAW,2026-05-31 06:20Z,2026-05-31 06:20Z,2026-05-31 08:45Z,Not Available,GateClosed,AA,AA6886_2026-05-31 06:20Z
QF 3527,Unknown,LHR,KEF,2026-05-31 06:25Z,2026-05-31 06:25Z,2026-05-31 09:30Z,2026-05-31 09:30Z,GateClosed,QF,QF3527_2026-05-31 06:25Z
QR 8295,Unknown,LHR,KEF,2026-05-31 06:25Z,2026-05-31 06:25Z,2026-05-31 09:30Z,2026-05-31 09:30Z,GateClosed,QR,QR8295_2026-05-31 06:25Z
AA 7231,Unknown,LHR,KEF,2026-05-31 06:25Z,2026-05-31 06:25Z,2026-05-31 09:30Z,2026-05-31 09:30Z,GateClosed,AA,AA7231_2026-05-31 06:25Z
BA 800,Unknown,LHR,KEF,2026-05-31 06:25Z,2026-05-31 06:25Z,2026-05-31 09:30Z,2026-05-31 09:30Z,GateClosed,BA,BA800_2026-05-31 06:25Z
JL 7761,Unknown,LHR,KEF,2026-05-31 06:25Z,2026-05-31 06:25Z,2026-05-31 09:30Z,2026-05-31 09:30Z,GateClosed,Unknown,JL7761_2026-05-31 06:25Z
UA 8884,Unknown,LHR,MUC,2026-05-31 06:25Z,2026-05-31 06:25Z,2026-05-31 08:20Z,2026-05-31 08:20Z,GateClosed,UA,UA8884_2026-05-31 06:25Z
NH 6144,Unknown,LHR,MUC,2026-05-31 06:25Z,2026-05-31 06:25Z,2026-05-31 08:20Z,2026-05-31 08:20Z,GateClosed,NH,NH6144_2026-05-31 06:25Z
A3 1621,Unknown,LHR,MUC,2026-05-31 06:25Z,2026-05-31 06:25Z,2026-05-31 08:20Z,2026-05-31 08:20Z,GateClosed,A3,A31621_2026-05-31 06:25Z
LH 2485,Unknown,LHR,MUC,2026-05-31 06:25Z,2026-05-31 06:25Z,2026-05-31 08:20Z,2026-05-31 08:20Z,GateClosed,LH,LH2485_2026-05-31 06:25Z
UA 8812,D-AINA,LHR,FRA,2026-05-31 06:30Z,2026-05-31 06:30Z,2026-05-31 08:05Z,2026-05-31 08:05Z,Boarding,UA,UA8812_2026-05-31 06:30Z
LH 923,D-AINA,LHR,FRA,2026-05-31 06:30Z,2026-05-31 06:30Z,2026-05-31 08:05Z,2026-05-31 08:05Z,Boarding,LH,LH923_2026-05-31 06:30Z
A3 1521,D-AINA,LHR,FRA,2026-05-31 06:30Z,2026-05-31 06:30Z,2026-05-31 08:05Z,2026-05-31 08:05Z,Boarding,A3,A31521_2026-05-31 06:30Z
NH 6232,D-AINA,LHR,FRA,2026-05-31 06:30Z,2026-05-31 06:30Z,2026-05-31 08:05Z,2026-05-31 08:05Z,Boarding,NH,NH6232_2026-05-31 06:30Z
QR 5935,Unknown,LHR,NCE,2026-05-31 06:30Z,2026-05-31 06:30Z,2026-05-31 08:35Z,Not Available,Boarding,QR,QR5935_2026-05-31 06:30Z
BA 326,Unknown,LHR,NCE,2026-05-31 06:30Z,2026-05-31 06:30Z,2026-05-31 08:35Z,Not Available,Boarding,BA,BA326_2026-05-31 06:30Z
QR 9686,Unknown,LHR,PMI,2026-05-31 06:30Z,2026-05-31 06:30Z,2026-05-31 08:55Z,2026-05-31 08:55Z,Boarding,QR,QR9686_2026-05-31 06:30Z
QF 3533,Unknown,LHR,PMI,2026-05-31 06:30Z,2026-05-31 06:30Z,2026-05-31 08:55Z,2026-05-31 08:55Z,Boarding,QF,QF3533_2026-05-31 06:30Z
IB 3909,Unknown,LHR,PMI,2026-05-31 06:30Z,2026-05-31 06:30Z,2026-05-31 08:55Z,2026-05-31 08:55Z,Boarding,IB,IB3909_2026-05-31 06:30Z
BA 468,Unknown,LHR,PMI,2026-05-31 06:30Z,2026-05-31 06:30Z,2026-05-31 08:55Z,2026-05-31 08:55Z,Boarding,BA,BA468_2026-05-31 06:30Z
QR 8363,Unknown,LHR,BER,2026-05-31 06:35Z,2026-05-31 06:35Z,2026-05-31 08:30Z,2026-05-31 08:30Z,Boarding,QR,QR8363_2026-05-31 06:35Z
QF 3539,Unknown,LHR,BER,2026-05-31 06:35Z,2026-05-31 06:35Z,2026-05-31 08:30Z,2026-05-31 08:30Z,Boarding,QF,QF3539_2026-05-31 06:35Z
BA 986,Unknown,LHR,BER,2026-05-31 06:35Z,2026-05-31 06:35Z,2026-05-31 08:30Z,2026-05-31 08:30Z,Boarding,BA,BA986_2026-05-31 06:35Z
